"Time","Type","Pair","Side","Price","Amount","Executed","Average Price","Status"
2024-06-04 20:08:02,Exchange,PAAL/USDT,Buy,Market Price,10.7723,31.18792038,0.3454,Executed,
2024-06-03 01:26:22,Exchange,PAAL/USDT,Buy,Market Price,10.0000,28.08199943,0.3560,Executed,
2024-05-31 23:48:01,Exchange,PAAL/USDT,Buy,0.3505,71.3266,71.32660000,0.3505,Executed,
2024-05-30 23:54:03,Exchange,PAAL/USDT,Buy,Market Price,10.0000,26.92514808,0.3713,Executed,
2024-05-30 12:32:22,Exchange,PAAL/USDT,Buy,0.3600,27.8055,27.80550000,0.3600,Executed,
2024-05-29 15:23:56,Exchange,PAAL/USDT,Buy,0.3650,27.4246,27.42460000,0.3650,Executed,
2024-05-29 00:53:00,Exchange,PAAL/USDT,Buy,0.3800,34.2104,34.21040000,0.3800,Executed,
2024-05-28 19:29:55,Exchange,PAAL/USDT,Buy,Market Price,15.0000,37.66005523,0.3982,Executed,
2024-05-27 22:26:36,Exchange,PAAL/USDT,Buy,Market Price,10.0000,23.85496183,0.4191,Executed,
2024-05-26 14:22:45,Exchange,PAAL/USDT,Buy,Market Price,10.9872,26.34196003,0.4170,Executed,
2024-05-26 09:22:04,Exchange,PAAL/USDT,Buy,0.4150,24.0987,24.09870000,0.4150,Executed,
2024-05-25 20:08:46,Exchange,PAAL/USDT,Buy,Market Price,10.0000,23.27746741,0.4295,Executed,
2024-05-25 13:16:32,Exchange,PAAL/USDT,Buy,0.4300,23.2581,23.25810000,0.4300,Executed,
2024-05-24 15:50:05,Exchange,PAAL/USDT,Buy,0.4505,22.1997,22.19970000,0.4505,Executed,
2024-05-24 11:31:24,Exchange,PAAL/USDT,Buy,Market Price,10.0000,21.37208805,0.4678,Executed,
2024-05-18 15:08:49,Exchange,PAAL/USDT,Buy,0.4500,22.2444,22.24440000,0.4500,Executed,
2024-05-14 20:50:53,Exchange,PAAL/USDT,Buy,Market Price,10.0000,27.20348204,0.3675,Executed,
2024-05-13 10:10:08,Exchange,PAAL/USDT,Buy,0.3800,39.4736,39.47360000,0.3800,Executed,
2024-05-11 11:35:50,Exchange,PAAL/USDT,Buy,0.4000,40.0000,40.00000000,0.4000,Executed,
2024-05-07 01:07:39,Exchange,PAAL/USDT,Buy,0.4100,59.4416,59.44160000,0.4100,Executed,
2024-05-07 01:07:27,Exchange,PAAL/USDT,Buy,0.4250,47.0588,47.05880000,0.4250,Executed,
2024-05-06 23:42:29,Exchange,PAAL/USDT,Buy,0.4500,22.2444,22.24440000,0.4500,Executed,
2024-05-06 23:42:06,Exchange,PAAL/USDT,Buy,0.4800,20.8541,20.85410000,0.4800,Executed,
2024-05-06 19:43:19,Exchange,PAAL/USDT,Buy,0.5000,20.0000,20.00000000,0.5000,Executed,
